Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,50.110001,51.250000,50.060001,50.650002,48.771225,7610100
2016-12-02,50.259998,50.680000,50.110001,50.459999,48.588268,6933300
2016-12-05,50.799999,52.270000,50.700001,51.849998,49.926712,12031200
2016-12-06,50.830002,51.099998,50.259998,50.570000,48.694191,12496300
2016-12-07,50.790001,52.250000,50.599998,52.099998,50.167435,10412600
2016-12-08,52.150002,52.470001,51.450001,51.549999,49.637833,9260900
2016-12-09,51.759998,51.970001,51.500000,51.720001,49.801533,5869800
2016-12-12,51.500000,51.900002,50.939999,51.540001,49.628208,11459500
2016-12-13,51.830002,53.220001,51.830002,52.299999,50.360020,11442300
2016-12-14,52.240002,52.340000,51.590000,51.790001,49.868935,8012800
2016-12-15,52.000000,52.040001,51.090000,51.290001,49.387478,9567500
2016-12-16,51.599998,51.639999,50.669998,50.919998,49.031208,13984900
2016-12-19,50.910000,51.360001,50.480000,50.849998,48.963806,9451700
2016-12-20,51.060001,51.990002,50.750000,51.790001,49.868935,15984100
2016-12-21,52.900002,53.349998,51.549999,52.299999,50.360020,23236400
2016-12-22,52.799999,53.000000,52.029999,52.139999,50.205948,11798900
2016-12-23,51.990002,52.349998,51.669998,51.910000,49.984486,9360800
2016-12-27,51.799999,52.250000,51.200001,51.290001,49.387478,8175000
2016-12-28,51.310001,51.500000,50.869999,51.020000,49.127495,6318000
2016-12-29,51.000000,51.240002,50.880001,51.060001,49.166012,4680800
2016-12-30,51.099998,51.330002,50.700001,50.830002,48.944546,7384300
2017-01-03,51.990002,52.500000,51.770000,51.980000,50.051891,13295600
2017-01-04,52.230000,53.349998,52.090000,53.070000,51.101456,13759500
2017-01-05,52.919998,53.099998,52.439999,53.060001,51.091827,8682200
2017-01-06,53.090000,54.090000,52.980000,53.910000,51.910297,12532400
2017-01-09,53.959999,53.990002,53.220001,53.380001,51.399956,8835300
2017-01-10,53.549999,53.730000,53.110001,53.110001,51.139980,8041900
2017-01-11,53.119999,53.290001,52.669998,52.689999,50.735546,8208300
2017-01-12,52.509998,52.689999,52.160000,52.400002,50.456306,7368700
2017-01-13,52.590000,52.930000,52.230000,52.919998,50.957012,6694400
2017-01-17,53.400002,53.950001,53.009998,53.650002,51.659946,9888500
2017-01-18,53.860001,53.889999,52.860001,53.270000,51.294037,6743100
2017-01-19,53.840000,53.939999,52.889999,52.930000,50.966652,8320600
2017-01-20,53.220001,53.349998,52.900002,53.200001,51.226631,7861000
2017-01-23,53.020000,53.259998,52.720001,53.240002,51.265160,7025700
2017-01-24,53.020000,53.570000,52.990002,53.450001,51.467365,6321300
2017-01-25,53.730000,54.119999,53.689999,53.860001,51.862152,6675000
2017-01-26,54.110001,54.119999,53.360001,53.650002,51.659946,6202000
2017-01-27,53.680000,54.080002,53.029999,53.189999,51.216999,7362000
2017-01-30,52.779999,53.220001,52.410000,53.080002,51.111084,9770800
2017-01-31,51.680000,52.900002,51.630001,52.900002,50.937759,12342900
2017-02-01,52.980000,53.259998,52.610001,53.020000,51.053318,8810900
2017-02-02,53.000000,53.009998,52.480000,52.799999,50.841476,7874200
2017-02-03,52.619999,52.810001,52.250000,52.360001,50.417789,8850400
2017-02-06,52.090000,52.799999,52.049999,52.799999,50.841476,7355200
2017-02-07,53.070000,53.279999,52.669998,52.810001,50.851101,6446900
2017-02-08,52.740002,53.939999,52.700001,53.880001,51.881409,9281100
2017-02-09,53.880001,55.700001,53.880001,55.310001,53.258373,14345400
2017-02-10,55.630001,56.470001,55.630001,56.220001,54.134617,14973400
2017-02-13,56.169998,56.340000,55.750000,56.090000,54.009434,7679800
2017-02-14,55.919998,56.689999,55.830002,56.450001,54.356079,8891400
2017-02-15,56.290001,56.759998,56.209999,56.639999,54.539036,6652000
2017-02-16,56.880001,56.919998,56.099998,56.290001,54.202015,8374200
2017-02-17,56.119999,56.799999,55.860001,56.750000,54.644951,12638000
2017-02-21,56.380001,57.450001,56.200001,57.360001,55.232319,10955000
2017-02-22,57.480000,58.380001,57.360001,58.240002,56.079685,10914100
2017-02-23,58.110001,58.400002,57.270000,57.389999,55.261219,12316300
2017-02-24,57.389999,58.419998,57.070000,57.860001,55.713776,9684500
2017-02-27,57.650002,57.830002,57.349998,57.689999,55.550087,4375700
2017-02-28,57.369999,57.549999,56.860001,57.160000,55.039742,7951300
2017-03-01,57.860001,58.029999,57.330002,57.950001,55.800446,8558900
2017-03-02,57.900002,58.250000,57.650002,57.799999,55.829418,6438400
2017-03-03,57.799999,57.799999,56.509998,56.700001,54.766918,9181600
2017-03-06,56.700001,56.930000,56.529999,56.770000,54.834526,6896800
2017-03-07,56.709999,56.990002,56.020000,56.549999,54.622036,7124400
2017-03-08,56.939999,56.939999,56.310001,56.509998,54.583389,7604800
2017-03-09,56.610001,56.660000,56.090000,56.360001,54.438507,6165700
2017-03-10,56.490002,56.990002,56.259998,56.430000,54.506123,8882400
2017-03-13,56.430000,56.820000,56.110001,56.669998,54.737938,7235900
2017-03-14,56.869999,58.009998,56.720001,57.279999,55.327141,9286900
2017-03-15,57.630001,57.990002,56.750000,57.660000,55.694191,10067500
2017-03-16,57.430000,57.720001,56.830002,57.599998,55.636234,9895000
2017-03-17,57.770000,57.889999,57.310001,57.799999,55.829418,10791500
2017-03-20,58.000000,58.810001,57.959999,58.680000,56.679413,13352500
2017-03-21,58.779999,59.000000,57.720001,58.009998,56.032246,15269800
2017-03-22,54.759998,55.000000,53.759998,53.919998,52.081699,37413400
2017-03-23,54.610001,55.549999,54.520000,55.369999,53.482262,23848300
2017-03-24,55.290001,56.639999,55.119999,56.360001,54.438507,14438600
2017-03-27,55.639999,56.250000,55.540001,55.930000,54.023170,8663600
2017-03-28,55.990002,56.779999,55.790001,56.619999,54.689644,7823900
2017-03-29,56.410000,57.099998,56.349998,56.680000,54.747597,7456200
2017-03-30,56.480000,56.599998,55.810001,56.040001,54.129417,7210500
2017-03-31,56.000000,56.029999,55.650002,55.730000,53.829994,5905600
2017-04-03,55.740002,55.799999,55.150002,55.560001,53.665791,7088800
2017-04-04,55.150002,55.299999,54.830002,55.040001,53.163509,8843300
2017-04-05,54.970001,55.799999,54.500000,54.980000,53.105564,7722100
2017-04-06,55.070000,55.939999,54.939999,55.139999,53.260101,6692200
2017-04-07,55.099998,55.240002,54.770000,55.110001,53.231121,6078300
2017-04-10,55.000000,55.330002,54.720001,54.900002,53.028290,5472700
2017-04-11,54.950001,55.070000,54.549999,54.919998,53.047607,4348600
2017-04-12,54.660000,55.619999,54.500000,55.570000,53.675442,8504100
2017-04-13,55.410000,55.599998,55.259998,55.340000,53.453289,5282100
2017-04-17,55.320000,56.340000,55.250000,56.240002,54.322605,7688700
2017-04-18,56.020000,56.419998,55.799999,56.110001,54.197033,5651100
2017-04-19,56.160000,56.220001,55.740002,55.860001,53.955559,5947700
2017-04-20,55.959999,56.689999,55.880001,56.400002,54.477150,6867100
2017-04-21,56.290001,56.380001,55.680000,55.849998,53.945892,6055600
2017-04-24,56.139999,56.209999,55.470001,55.470001,53.578861,10777700
2017-04-25,55.529999,55.770000,55.410000,55.450001,53.559536,8971000
2017-04-26,55.459999,55.840000,55.119999,55.160000,53.279423,10936000
2017-04-27,55.180000,55.570000,54.910000,55.470001,53.578861,8558000
2017-04-28,55.430000,55.529999,55.139999,55.410000,53.520901,6437700
2017-05-01,55.430000,55.450001,54.980000,54.990002,53.115215,4881400
2017-05-02,55.119999,55.160000,54.790001,55.070000,53.192486,7363600
2017-05-03,55.169998,55.299999,54.400002,54.529999,52.670895,9474700
2017-05-04,54.680000,54.830002,54.200001,54.470001,52.612946,6830600
2017-05-05,54.410000,54.500000,53.560001,53.950001,52.110680,13379900
2017-05-08,54.180000,54.509998,53.830002,54.299999,52.448734,8728100
2017-05-09,54.330002,55.080002,54.160000,54.889999,53.018631,6441200
2017-05-10,54.910000,55.060001,54.509998,54.560001,52.699883,5823000
2017-05-11,54.520000,54.520000,53.400002,54.240002,52.390789,6499600
2017-05-12,54.099998,54.389999,53.790001,54.200001,52.352154,5606300
2017-05-15,54.119999,54.200001,53.680000,53.770000,51.936810,8201700
2017-05-16,52.369999,53.380001,52.119999,52.779999,50.980564,14562700
2017-05-17,52.779999,52.869999,51.799999,51.799999,50.033970,18341500
2017-05-18,51.970001,52.080002,51.299999,51.680000,49.918068,22576500
2017-05-19,51.000000,52.110001,50.810001,51.770000,50.005001,20047800
2017-05-22,51.770000,51.959999,51.400002,51.570000,49.811821,13671500
2017-05-23,51.980000,52.630001,51.880001,52.200001,50.420341,11087300
2017-05-24,52.250000,52.299999,51.740002,52.009998,50.236816,9383600
2017-05-25,52.380001,52.590000,52.209999,52.349998,50.565220,7627500
2017-05-26,52.349998,52.759998,52.230000,52.590000,50.797047,5921300
2017-05-30,52.759998,53.020000,52.639999,52.919998,51.115784,8039600
2017-05-31,53.020000,53.279999,52.709999,52.990002,51.183407,8938800
2017-06-01,53.060001,53.299999,52.209999,52.299999,50.689106,13352100
2017-06-02,52.700001,53.009998,52.360001,52.980000,51.348164,18511200
2017-06-05,53.000000,53.230000,52.700001,53.009998,51.377243,5748900
2017-06-06,52.900002,53.099998,52.430000,52.480000,50.863571,8923000
2017-06-07,52.790001,53.360001,52.750000,53.230000,51.590462,7438300
2017-06-08,53.230000,54.139999,53.150002,53.200001,51.561394,7785600
2017-06-09,53.200001,53.470001,52.799999,53.459999,51.813389,8347400
2017-06-12,53.509998,54.250000,53.500000,54.029999,52.365822,9180000
2017-06-13,54.029999,54.660000,53.840000,54.310001,52.637203,8720100
2017-06-14,54.480000,54.669998,53.950001,54.660000,52.976421,6783900
2017-06-15,54.000000,54.049999,52.730000,52.900002,51.270634,16041100
2017-06-16,51.750000,51.840000,50.790001,51.099998,49.526070,25725500
2017-06-19,51.419998,52.220001,51.400002,52.020000,50.417736,11265300
2017-06-20,52.049999,52.130001,51.099998,51.560001,49.971905,10676500
2017-06-21,51.900002,52.689999,51.900002,52.590000,50.970181,13021700
2017-06-22,52.599998,52.619999,52.090000,52.400002,50.786034,10660700
2017-06-23,52.150002,52.919998,51.669998,52.849998,51.222168,8522400
2017-06-26,52.950001,53.570000,52.669998,53.279999,51.638924,7966200
2017-06-27,53.189999,53.259998,52.639999,52.950001,51.319092,7873100
2017-06-28,53.169998,53.610001,52.959999,53.360001,51.716465,7527200
2017-06-29,53.330002,53.630001,52.990002,53.169998,51.532318,14801900
2017-06-30,56.599998,59.709999,56.500000,59.000000,57.182751,46553000
2017-07-03,58.369999,59.009998,58.330002,58.650002,56.843521,9910000
2017-07-05,58.240002,58.290001,57.509998,57.560001,55.787106,16167000
2017-07-06,57.450001,57.720001,57.000000,57.160000,55.399422,9035700
2017-07-07,57.400002,58.080002,57.029999,57.980000,56.194164,8145400
2017-07-10,57.889999,58.810001,57.680000,58.730000,56.921066,8942400
2017-07-11,58.540001,58.930000,58.040001,58.180000,56.388008,7223000
2017-07-12,58.310001,58.750000,58.099998,58.220001,56.426773,7243100
2017-07-13,58.220001,58.580002,57.930000,57.939999,56.155396,8108600
2017-07-14,57.950001,58.209999,57.639999,58.000000,56.213551,6345300
2017-07-17,58.000000,58.349998,57.759998,57.790001,56.010021,6885000
2017-07-18,57.740002,58.080002,57.470001,57.650002,55.874329,4922500
2017-07-19,57.599998,57.880001,57.389999,57.770000,55.990631,4451100
2017-07-20,59.119999,59.590000,58.799999,59.099998,57.279671,11915500
2017-07-21,59.000000,60.000000,58.910000,59.950001,58.103485,11048300
2017-07-24,59.689999,59.770000,58.759998,58.950001,57.134289,7498900
2017-07-25,59.320000,59.520000,58.919998,59.389999,57.560738,5157100
2017-07-26,59.090000,59.130001,58.320000,58.360001,56.562458,5529500
2017-07-27,58.599998,58.680000,57.990002,58.150002,56.358932,8259900
2017-07-28,58.150002,58.740002,57.970001,58.669998,56.862907,5112800
2017-07-31,58.709999,59.119999,58.330002,59.049999,57.231209,6225900
2017-08-01,59.000000,59.939999,58.900002,59.840000,57.996876,9051700
2017-08-02,59.549999,59.950001,59.270000,59.790001,57.948414,4468100
2017-08-03,59.799999,60.529999,59.639999,60.139999,58.287632,5677200
2017-08-04,60.169998,60.340000,59.630001,59.759998,57.919334,4106000
2017-08-07,59.820000,60.099998,59.709999,59.790001,57.948414,4066700
2017-08-08,59.880001,60.119999,59.360001,59.459999,57.628582,5586400
2017-08-09,59.419998,59.970001,59.259998,59.900002,58.055031,5310900
2017-08-10,59.680000,59.689999,59.060001,59.070000,57.250591,5585100
2017-08-11,58.730000,59.270000,58.590000,58.970001,57.153675,4980000
2017-08-14,59.150002,60.000000,59.130001,59.779999,57.938725,5900000
2017-08-15,58.939999,59.009998,58.290001,58.560001,56.756298,8913000
2017-08-16,58.900002,59.049999,58.220001,58.540001,56.736919,5489600
2017-08-17,58.529999,58.740002,57.419998,57.459999,55.690178,9148600
2017-08-18,54.849998,55.419998,54.169998,54.950001,53.257492,22905200
2017-08-21,54.439999,54.439999,53.110001,53.610001,51.958763,14289300
2017-08-22,53.919998,54.410000,53.790001,54.130001,52.462757,8212800
2017-08-23,53.919998,54.080002,53.450001,53.610001,51.958763,6409400
2017-08-24,53.930000,53.970001,53.459999,53.840000,52.181683,5461900
2017-08-25,54.029999,54.200001,53.540001,53.900002,52.239838,6416600
2017-08-28,54.070000,54.430000,53.619999,53.730000,52.075069,5269400
2017-08-29,52.740002,52.880001,52.070000,52.730000,51.105865,12539900
2017-08-30,52.799999,52.959999,52.250000,52.560001,50.941113,7434500
