Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,171.639999,172.740005,171.449997,172.630005,157.527817,1756900
2016-12-02,172.529999,173.690002,172.240005,172.429993,157.345291,1871500
2016-12-05,172.630005,172.949997,171.089996,171.619995,156.606125,2181300
2016-12-06,171.820007,172.029999,171.229996,171.800003,156.770432,1467500
2016-12-07,172.380005,176.059998,171.970001,176.050003,160.648621,3164300
2016-12-08,176.080002,176.350006,174.770004,175.880005,160.493469,1790700
2016-12-09,175.360001,178.869995,175.300003,178.490005,162.875137,2650400
2016-12-12,178.250000,179.809998,177.570007,179.639999,163.924545,2296100
2016-12-13,179.570007,180.059998,176.770004,178.830002,163.185394,2708600
2016-12-14,179.160004,179.389999,176.410004,176.600006,161.150513,2234200
2016-12-15,177.259995,177.580002,175.050003,176.020004,160.621231,2055600
2016-12-16,176.559998,178.500000,176.550003,177.449997,161.926132,3889700
2016-12-19,177.610001,178.669998,177.320007,178.160004,162.574020,1382000
2016-12-20,178.339996,179.330002,178.059998,178.649994,163.021149,1378200
2016-12-21,178.600006,179.529999,178.419998,178.429993,162.820389,1555900
2016-12-22,178.889999,179.460007,177.979996,179.199997,163.523041,1225600
2016-12-23,179.089996,179.289993,178.529999,178.750000,163.112411,731100
2016-12-27,178.660004,179.199997,178.570007,178.919998,163.267532,651000
2016-12-28,178.880005,179.449997,178.020004,178.080002,162.501038,1287900
2016-12-29,178.289993,179.139999,178.029999,178.410004,162.802170,1102000
2016-12-30,179.000000,179.479996,178.289993,178.570007,162.948181,1594200
2017-01-03,178.830002,180.000000,177.220001,178.050003,162.473648,2509300
2017-01-04,178.029999,178.899994,177.610001,178.320007,162.720047,1542000
2017-01-05,178.259995,179.139999,176.889999,177.710007,162.163406,1447800
2017-01-06,177.289993,178.600006,175.800003,178.229996,162.637924,1625000
2017-01-09,178.369995,178.380005,177.199997,177.270004,161.761902,1622600
2017-01-10,177.360001,177.490005,176.309998,176.580002,161.132248,2030100
2017-01-11,176.630005,178.449997,176.389999,177.889999,162.327637,1579600
2017-01-12,176.970001,177.699997,175.750000,177.440002,161.917023,1321800
2017-01-13,177.580002,177.910004,176.830002,177.389999,161.871384,1265500
2017-01-17,177.000000,177.679993,176.250000,177.259995,161.752747,1557500
2017-01-18,177.899994,179.440002,177.380005,178.490005,162.875137,1804600
2017-01-19,179.250000,179.800003,177.759995,178.679993,163.048523,1464400
2017-01-20,179.199997,179.460007,177.830002,178.490005,162.875137,1761900
2017-01-23,177.910004,178.990005,177.130005,178.509995,162.893402,1986800
2017-01-24,177.500000,177.759995,174.419998,175.970001,160.575577,3473200
2017-01-25,177.089996,178.630005,176.570007,176.729996,161.269104,3462600
2017-01-26,176.309998,177.229996,176.039993,176.820007,161.351273,2235900
2017-01-27,177.479996,177.979996,176.830002,177.479996,161.953491,1623700
2017-01-30,177.250000,177.729996,174.869995,175.419998,160.073730,1823100
